category,service_name,description,unit,price,regulation_reference,source_page
Teh,Organoleptik,,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar ekstrak dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar abu total,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Alkalinitas abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar gagang dan tulang,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,5
Teh,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,5
Teh,MPN Coliform,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Organoleptik,,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar ekstrak dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar abu total,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Alkalinitas abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar gagang dan tulang,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,5
Teh Hijau,MPN Coliform,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,"Keadaan : Kantong, tali pengikat,",,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Theina,,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,6
Teh Hijau Celup,Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,","Keadaan : Kantong, tali pengikat,",,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kealkalian abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Lolos ayakan : 7 mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Zat warna tambahan,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,6
"Teh Merah / Teh Hitam Celup,",Bakteri bentuk koli,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,6
Teh Lemon,"Keadaan : Kantong, tali pengikat,",,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,6
Teh Lemon,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
Teh Lemon,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
Teh Lemon,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,6
Teh Lemon,Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,6
Teh Lemon,Kadar abu tak larut dalam asam,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Kealkalian abu larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Kadar serat kasar,,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Lolos ayakan : 7 mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Zat warna tambahan,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Timbel (Pb),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,7
Teh Lemon,Bakteri bentuk koli,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,"Keadaan : Kantong, tali pengikat,",,per sampel,50000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Kadar abu larut dalam air,,per sampel,75000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Kadar ekstrak larut dalam air,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Theina,,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,mesh,,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Besi (Fe),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Timbel (Pb),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Tembaga (Cu),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Seng (Zn),,per sampel,90000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Timah (Sn),,per sampel,100000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Raksa (Hg),,per sampel,300000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Kadar cemaran Arsen (As),,per sampel,150000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Angka Lempeng Total (ALT),,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,7
Teh Melati Celup,Kapang,,per sampel,125000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,"Keadaan : warna, bau, rasa",,per sampel,30000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Kadar air (metoda oven),,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
Teh Jahe,Kadar abu,,per sampel,60000,Pergub Jateng No. 35 Tahun 2024,7
